molecule;gene;target;start;end;strand
AB0005EA7V;.;F;98612.0;98612.0;1
AB0005EA7V;radA;F;99906;101280;1
AB0005EA7V;PIN/TRAM domain-containing protein;F;101484;102579;1
AB0005EA7V;2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase;F;102600;103287;1
AB0005EA7V;2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase;F;103301;103784;1
AB0005EA7V;glutamate--tRNA ligase;F;103978;105448;1
AB0005EA7V;misc_binding;F;105525;105762;1
AB0005EA7V;cysE;F;105823;106498;1
AB0005EA7V;cysS;F;106475;107885;1
AB0005EA7V;Mini-ribonuclease 3;F;107888;108311;1
AB0005EA7V;rlmB;F;108307;109048;1
AB0005EA7V;hypothetical protein;F;109051;109564;1
AB0005EA7V;sigH;F;109633;110284;1
AB0005EA7V;protein arginine kinase;F;96306;97398;1
AB0005EA7V;hypothetical protein;F;95753;96302;1
AB0005EA7V;ctsR;F;95277;95739;1
AB0005EA7V;rrf;F;94879;94996;1
AB0005EA7V;23S ribosomal RNA;F;91634;94566;1
AB0005EA7V;16S ribosomal RNA;F;89505;91066;1
AB0005EA7V;tRNA-Ala;F;89167;89240;1
AB0005EA7V;tRNA-Pro;F;89081;89155;1
AB0005EA7V;tRNA-Arg;F;89003;89077;1
AB0005EA7V;tRNA-Leu;F;88914;89000;1
AB0005EA7V;tRNA-Gly;F;88824;88899;1
AB0005EA7V;tRNA-Leu;F;88728;88813;1
AB0005EA7V;tRNA-Lys;F;88638;88714;1
AB0005EA7V;tRNA-Val;F;88136;88212;1
AB0005EA7V;rrf;F;88011;88128;1
AB0005EA7V;hypothetical protein;F;87170;87803;1
AB000B9KLE;p: hypothetical protein;T;-3131684;-3129248;1
AB000B9KLE;.;F;-3130466.0;-3130466.0;1
AB000B9KLE;protein arginine kinase;F;-3132772;-3131680;1
AB000B9KLE;UvrB/UvrC motif-containing protein;F;-3133325;-3132776;1
AB000B9KLE;ctsR;F;-3133801;-3133339;1
AB000B9KLE;rrf;F;-3134204;-3134087;1
AB000B9KLE;23S ribosomal RNA;F;-3137379;-3134449;1
AB000B9KLE;16S ribosomal RNA;F;-3139323;-3137764;1
AB000B9KLE;tRNA-Ala;F;-3139611;-3139538;1
AB000B9KLE;tRNA-Pro;F;-3139697;-3139623;1
AB000B9KLE;tRNA-Arg;F;-3139775;-3139701;1
AB000B9KLE;tRNA-Leu;F;-3139864;-3139778;1
AB000B9KLE;tRNA-Gly;F;-3139954;-3139879;1
AB000B9KLE;tRNA-Leu;F;-3140050;-3139965;1
AB000B9KLE;tRNA-Lys;F;-3140136;-3140060;1
AB000B9KLE;tRNA-Val;F;-3140509;-3140433;1
AB000B9KLE;rrf;F;-3140634;-3140517;1
AB000B9KLE;hypothetical protein;F;-3141714;-3141063;1
AB000B9KLE;radA;F;-3129175;-3127801;1
AB000B9KLE;PIN/TRAM domain-containing protein;F;-3127594;-3126499;1
AB000B9KLE;2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase;F;-3126478;-3125791;1
AB000B9KLE;2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase;F;-3125777;-3125294;1
AB000B9KLE;glutamate--tRNA ligase;F;-3125067;-3123597;1
AB000B9KLE;misc_binding;F;-3123520;-3123283;1
AB000B9KLE;cysE;F;-3123247;-3122551;1
AB000B9KLE;cysS;F;-3122574;-3121170;1
AB000B9KLE;Mini-ribonuclease 3;F;-3121167;-3120744;1
AB000B9KLE;rlmB;F;-3120745;-3120007;1
AB000B9KLE;NYN domain-containing protein;F;-3120004;-3119491;1
AB000B9KLE;sigH;F;-3119422;-3118771;1
AB000BESWR;p: RNA polymerase sporulation sigma factor SigH;T;-91059;-88626;1
AB000BESWR;.;F;-89842.5;-89842.5;1
AB000BESWR;protein arginine kinase;F;-92147;-91055;1
AB000BESWR;UvrB/UvrC motif-containing protein;F;-92692;-92149;1
AB000BESWR;CtsR family transcriptional regulator;F;-93246;-92784;1
AB000BESWR;rrf;F;-93639;-93522;1
AB000BESWR;23S ribosomal RNA;F;-96931;-94000;1
AB000BESWR;16S ribosomal RNA;F;-98857;-97301;1
AB000BESWR;lysS;F;-100612;-99127;1
AB000BESWR;dusB;F;-101689;-100693;1
AB000BESWR;radA;F;-88610;-87173;1
AB000BESWR;PIN/TRAM domain-containing protein;F;-87064;-85969;1
AB000BESWR;2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase;F;-85952;-85268;1
AB000BESWR;2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase;F;-85264;-84787;1
AB000BESWR;glutamate--tRNA ligase;F;-84717;-83226;1
AB000BESWR;misc_binding;F;-83252;-83018;1
AB000BESWR;cysE;F;-82965;-82302;1
AB000BESWR;cysS;F;-82322;-80924;1
AB000BESWR;Mini-ribonuclease 3;F;-80921;-80501;1
AB000BESWR;rlmB;F;-80499;-79761;1
AB000BESWR;NYN domain-containing protein;F;-79756;-79246;1
AB000BESWR;sigH;F;-79178;-78527;1
AB000ZPMIV;p: RNA polymerase sporulation sigma factor SigH;T;-4694498;-4693796;1
AB000ZPMIV;.;F;-4694147.0;-4694147.0;1
AB000ZPMIV;PPE family protein;F;-4695694;-4694521;1
AB000ZPMIV;PE domain-containing protein;F;-4696561;-4695727;1
AB000ZPMIV;PE family protein;F;-4696839;-4696548;1
AB000ZPMIV;DUF3046 domain-containing protein;F;-4697192;-4696997;1
AB000ZPMIV;glycosyl transferase;F;-4698369;-4697202;1
AB000ZPMIV;nuclear transport factor 2 family protein;F;-4698889;-4698466;-1
AB000ZPMIV;DUF5313 domain-containing protein;F;-4699308;-4698897;-1
AB000ZPMIV;hypothetical protein;F;-4700135;-4699304;1
AB000ZPMIV;PspA/IM30 family protein;F;-4700953;-4700137;1
AB000ZPMIV;helix-turn-helix transcriptional regulator;F;-4701365;-4701038;1
AB000ZPMIV;pgsA;F;-4702048;-4701445;1
AB000ZPMIV;amino-acid N-acetyltransferase;F;-4702587;-4702089;-1
AB000ZPMIV;sugar porter family MFS transporter;F;-4703957;-4702607;1
AB000ZPMIV;DNA translocase FtsK 4TM domain-containing protein;F;-4706810;-4704350;1
AB000ZPMIV;recA;F;-4693634;-4691501;1
AB000ZPMIV;recX;F;-4691536;-4691002;1
AB000ZPMIV;ABC transporter permease subunit;F;-4691006;-4690178;-1
AB000ZPMIV;amino acid ABC transporter permease;F;-4690122;-4689441;-1
AB000ZPMIV;glutamate ABC transporter substrate-binding protein;F;-4689445;-4688656;-1
AB000ZPMIV;ATP-binding cassette domain-containing protein;F;-4688647;-4687918;-1
AB000ZPMIV;miaB;F;-4687864;-4686412;1
AB000ZPMIV;hypothetical protein;F;-4686416;-4685837;1
AB000ZPMIV;DUF349 domain-containing protein;F;-4685834;-4684517;-1
AB000ZPMIV;DMT family transporter;F;-4684147;-4683199;1
AB000QCU2U;p: DMT family transporter;T;-4014324;-4011903;1
AB000QCU2U;.;F;-4013113.5;-4013113.5;1
AB000QCU2U;protein arginine kinase;F;-4015386;-4014336;1
AB000QCU2U;hypothetical protein;F;-4015901;-4015388;1
AB000QCU2U;CtsR family transcriptional regulator;F;-4016376;-4015902;1
AB000QCU2U;putative glycoside hydrolase;F;-4017721;-4016587;1
AB000QCU2U;tRNA-Asn;F;-4018006;-4017930;1
AB000QCU2U;rrf;F;-4018158;-4018041;1
AB000QCU2U;23S ribosomal RNA;F;-4021375;-4018264;1
AB000QCU2U;16S ribosomal RNA;F;-4023112;-4021561;1
AB000QCU2U;hypothetical protein;F;-4023555;-4023372;1
AB000QCU2U;YjbQ family protein;F;-4024055;-4023656;1
AB000QCU2U;D-glycerate dehydrogenase;F;-4025198;-4024220;1
AB000QCU2U;radA;F;-4011821;-4010462;1
AB000QCU2U;disA;F;-4010459;-4009382;1
AB000QCU2U;CarD family transcriptional regulator;F;-4009290;-4008786;1
AB000QCU2U;TRAM domain-containing protein;F;-4008715;-4007605;1
AB000QCU2U;ispD;F;-4007604;-4006911;1
AB000QCU2U;2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase;F;-4006910;-4006427;1
AB000QCU2U;CBS domain-containing protein;F;-4006427;-4005635;1
AB000QCU2U;glutamate--tRNA ligase;F;-4005487;-4004017;1
AB000QCU2U;hypothetical protein;F;-4003992;-4003779;1
AB000QCU2U;cysteine--tRNA ligase;F;-4003268;-4001825;1
AB000TSKPJ;p: cysteine--tRNA ligase;T;16968;19404;1
AB000TSKPJ;.;F;18186.0;18186.0;1
AB000TSKPJ;radA;F;19458;20835;1
AB000TSKPJ;PIN/TRAM domain-containing protein;F;20950;22015;1
AB000TSKPJ;ispD;F;22074;22752;1
AB000TSKPJ;2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase;F;22748;23222;1
AB000TSKPJ;glutamate--tRNA ligase;F;23270;24725;1
AB000TSKPJ;misc_binding;F;24721;24925;1
AB000TSKPJ;cysE;F;24974;25664;1
AB000TSKPJ;cysteine--tRNA ligase;F;25632;27030;1
AB000TSKPJ;ribonuclease III;F;27026;27434;1
AB000TSKPJ;rlmB;F;27540;28293;1
AB000TSKPJ;NYN domain-containing protein;F;28289;28817;1
AB000TSKPJ;sigH;F;29038;29680;1
AB000TSKPJ;protein arginine kinase;F;15897;16944;1
AB000TSKPJ;DNA helicase UvrBC;F;15466;15901;1
AB000TSKPJ;CtsR family transcriptional regulator;F;14979;15447;1
AB000TSKPJ;rrf;F;14714;14830;1
AB000TSKPJ;23S ribosomal RNA;F;11744;14658;1
AB000TSKPJ;16S ribosomal RNA;F;10035;11599;1
AB000TSKPJ;metal-dependent phosphohydrolase;F;8821;9811;1
AB000TSKPJ;gyrA;F;6188;8759;1
AB0003KXOH;p: DNA gyrase subunit A;T;266183;268631;1
AB0003KXOH;.;F;267407.0;267407.0;1
AB0003KXOH;radA;F;268842;270195;1
AB0003KXOH;disA;F;270206;271292;1
AB0003KXOH;hypothetical protein;F;271362;271758;-1
AB0003KXOH;CarD family transcriptional regulator;F;271949;272426;1
AB0003KXOH;PIN/TRAM domain-containing protein;F;272543;273683;1
AB0003KXOH;ispD;F;273687;274371;1
AB0003KXOH;2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase;F;274441;274918;1
AB0003KXOH;glutamine--tRNA ligase/YqeY domain fusion protein;F;275042;276740;1
AB0003KXOH;hypothetical protein;F;276970;277303;-1
AB0003KXOH;glutamate--tRNA ligase;F;277517;278972;1
AB0003KXOH;protein arginine kinase;F;265101;266172;1
AB0003KXOH;UvrB/UvrC motif-containing protein;F;264576;265089;1
AB0003KXOH;CtsR family transcriptional regulator;F;264090;264555;1
AB0003KXOH;clpB;F;261025;263626;1
AB0003KXOH;hypothetical protein;F;260695;260995;1
AB0003KXOH;J domain-containing protein;F;259703;260693;1
AB0003KXOH;dnaK;F;257775;259659;1
AB0003KXOH;tRNA-Asn;F;257255;257330;1
AB0003KXOH;rrf;F;257120;257237;1
AB0003KXOH;23S ribosomal RNA;F;254121;257062;1
AB0005NSKM;p: 23S ribosomal RNA;T;61737;64185;1
AB0005NSKM;.;F;62961.0;62961.0;1
AB0005NSKM;radA;F;64252;65638;1
AB0005NSKM;PIN/TRAM domain-containing protein;F;65765;66851;1
AB0005NSKM;ispD;F;66983;67667;1
AB0005NSKM;2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase;F;67669;68152;1
AB0005NSKM;glutamate--tRNA ligase;F;68195;69644;1
AB0005NSKM;misc_binding;F;69643;69862;1
AB0005NSKM;cysE;F;69889;70591;1
AB0005NSKM;cysteine--tRNA ligase;F;70544;71942;1
AB0005NSKM;ribonuclease III;F;71938;72343;1
AB0005NSKM;rlmB;F;72428;73193;1
AB0005NSKM;NYN domain-containing protein;F;73189;73720;1
AB0005NSKM;sigH;F;73907;74549;1
AB0005NSKM;ATP--guanido phosphotransferase;F;60664;61738;1
AB0005NSKM;hypothetical protein;F;60243;60672;1
AB0005NSKM;CtsR family transcriptional regulator;F;59762;60218;1
AB0005NSKM;aminotransferase class V-fold PLP-dependent enzyme;F;59086;59656;1
AB0005NSKM;ATP--guanido phosphotransferase;F;58058;59087;1
AB0005NSKM;hypothetical protein;F;57637;58066;1
AB0005NSKM;CtsR family transcriptional regulator;F;57156;57612;1
AB0005NSKM;rrf;F;56909;57025;1
AB0005NSKM;23S ribosomal RNA;F;53949;56863;1
AB0005NSKM;16S ribosomal RNA;F;52222;53787;1
AB0005NSKM;tRNA-Ala;F;52022;52098;1
AB0005NSKM;tRNA-Pro;F;51923;52000;1
AB0005NSKM;tRNA-Arg;F;51845;51919;1
AB0005NSKM;tRNA-Leu;F;51718;51805;1
AB0004LLHP;p: tRNA-Leu;T;94905;97353;1
AB0004LLHP;.;F;96129.0;96129.0;1
AB0004LLHP;radA;F;97423;98809;1
AB0004LLHP;PIN/TRAM domain-containing protein;F;98940;100032;1
AB0004LLHP;ispD;F;100090;100774;1
AB0004LLHP;2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase;F;100776;101259;1
AB0004LLHP;glutamate--tRNA ligase;F;101304;102750;1
AB0004LLHP;misc_binding;F;102749;102967;1
AB0004LLHP;cysE;F;103012;103696;1
AB0004LLHP;cysteine--tRNA ligase;F;103649;105047;1
AB0004LLHP;ribonuclease III;F;105043;105448;1
AB0004LLHP;rlmB;F;105536;106301;1
AB0004LLHP;NYN domain-containing protein;F;106297;106807;1
AB0004LLHP;sigH;F;107020;107668;1
AB0004LLHP;ATP--guanido phosphotransferase;F;93832;94906;1
AB0004LLHP;hypothetical protein;F;93411;93840;1
AB0004LLHP;CtsR family transcriptional regulator;F;92939;93395;1
AB0004LLHP;rrf;F;92687;92803;1
AB0004LLHP;23S ribosomal RNA;F;89723;92639;1
AB0004LLHP;16S ribosomal RNA;F;87994;89556;1
AB0004LLHP;tRNA-Ala;F;87796;87872;1
AB0004LLHP;tRNA-Pro;F;87698;87775;1
AB0004LLHP;tRNA-Arg;F;87619;87693;1
AB0004LLHP;tRNA-Leu;F;87500;87587;1
AB0004LLHP;tRNA-Thr;F;87366;87442;1
AB0004LLHP;tRNA-Val;F;87269;87345;1
AB0004LLHP;rrf;F;87144;87260;1
AB0004LLHP;23S ribosomal RNA;F;84134;87047;1
AB0005WKLG;p: 23S ribosomal RNA;T;7994947;7995685;1
AB0005WKLG;.;F;7995316.0;7995316.0;1
AB0005WKLG;priA;F;7995644;7996382;-1
AB0005WKLG;hisH;F;7996404;7997037;-1
AB0005WKLG;hypothetical protein;F;7997218;7997902;-1
AB0005WKLG;transketolase;F;7997929;7998817;-1
AB0005WKLG;transketolase;F;7998830;7999469;-1
AB0005WKLG;soxR;F;7999563;8000028;1
AB0005WKLG;ornithine cyclodeaminase family protein;F;8000139;8001048;1
AB0005WKLG;RNA 2'-phosphotransferase;F;8001082;8001613;1
AB0005WKLG;hypothetical protein;F;8001666;8001831;-1
AB0005WKLG;hisB;F;8001904;8002504;-1
AB0005WKLG;histidinol-phosphate transaminase;F;8002500;8003607;-1
AB0005WKLG;hisD;F;8003603;8004929;-1
AB0005WKLG;aminotransferase class V-fold PLP-dependent enzyme;F;8004952;8006125;-1
AB0005WKLG;PPOX class F420-dependent oxidoreductase;F;7994503;7994893;1
AB0005WKLG;hypothetical protein;F;7991261;7994258;-1
AB0005WKLG;hisF;F;7990128;7990902;-1
AB0005WKLG;hypothetical protein;F;7989760;7990132;-1
AB0005WKLG;hisI;F;7989389;7989764;-1
AB0005WKLG;TetR/AcrR family transcriptional regulator;F;7988823;7989420;1
AB0005WKLG;anthranilate synthase component I;F;7987211;7988744;-1
AB0005WKLG;Trp biosynthesis-associated membrane protein;F;7986676;7987219;-1
AB0005WKLG;trpC;F;7985739;7986549;-1
AB0005WKLG;trpB;F;7984499;7985720;-1
AB0002WQYA;p: tryptophan synthase subunit beta;T;7554614;7555793;1
AB0002WQYA;.;F;7555203.5;7555203.5;1
AB0002WQYA;aspS;F;7555746;7557540;-1
AB0002WQYA;hypothetical protein;F;7558033;7558420;-1
AB0002WQYA;purine-nucleoside phosphorylase;F;7558561;7559371;1
AB0002WQYA;phospho-sugar mutase;F;7559401;7561123;1
AB0002WQYA;uracil phosphoribosyltransferase;F;7561328;7561952;-1
AB0002WQYA;deoxyribose-phosphate aldolase;F;7562101;7562968;1
AB0002WQYA;hypothetical protein;F;7563056;7563755;-1
AB0002WQYA;sensor histidine kinase;F;7563903;7565991;1
AB0002WQYA;hypothetical protein;F;7554180;7554543;-1
AB0002WQYA;glutamate--cysteine ligase;F;7552722;7553877;-1
AB0002WQYA;amidohydrolase;F;7551196;7552549;-1
AB0002WQYA;NAD(P)H-quinone dehydrogenase;F;7549738;7551187;1
AB0002WQYA;gamma-glutamylcyclotransferase;F;7548696;7549137;-1
AB0002WQYA;hypothetical protein;F;7547849;7548506;1
AB0002WQYA;ATP-grasp domain-containing protein;F;7545656;7547426;1
AB0002WQYA;hypothetical protein;F;7545210;7545459;1
AB0002WQYA;acyl-CoA carboxylase subunit beta;F;7543577;7545173;1
AB0002WQYA;p: acyl-CoA carboxylase subunit beta;T;7554614;7555793;1
AB0002WQYA;.;F;7555203.5;7555203.5;1
AB0002WQYA;aspS;F;7555746;7557540;-1
AB0002WQYA;hypothetical protein;F;7558033;7558420;-1
AB0002WQYA;purine-nucleoside phosphorylase;F;7558561;7559371;1
AB0002WQYA;phospho-sugar mutase;F;7559401;7561123;1
AB0002WQYA;uracil phosphoribosyltransferase;F;7561328;7561952;-1
AB0002WQYA;deoxyribose-phosphate aldolase;F;7562101;7562968;1
AB0002WQYA;hypothetical protein;F;7563056;7563755;-1
AB0002WQYA;sensor histidine kinase;F;7563903;7565991;1
AB0002WQYA;hypothetical protein;F;7554180;7554543;-1
AB0002WQYA;glutamate--cysteine ligase;F;7552722;7553877;-1
AB0002WQYA;amidohydrolase;F;7551196;7552549;-1
AB0002WQYA;NAD(P)H-quinone dehydrogenase;F;7549738;7551187;1
AB0002WQYA;gamma-glutamylcyclotransferase;F;7548696;7549137;-1
AB0002WQYA;hypothetical protein;F;7547849;7548506;1
AB0002WQYA;ATP-grasp domain-containing protein;F;7545656;7547426;1
AB0002WQYA;hypothetical protein;F;7545210;7545459;1
AB0002WQYA;acyl-CoA carboxylase subunit beta;F;7543577;7545173;1
AB000VD65P;p: acyl-CoA carboxylase subunit beta;T;320845;323299;1
AB000VD65P;.;F;322072.0;322072.0;1
AB000VD65P;ACT domain-containing protein;F;323434;323875;1
AB000VD65P;homoserine kinase;F;323893;324775;1
AB000VD65P;radA;F;324917;326288;1
AB000VD65P;disA;F;326369;327458;1
AB000VD65P;DUF1573 domain-containing protein;F;327490;327886;-1
AB000VD65P;CarD family transcriptional regulator;F;328210;328687;1
AB000VD65P;TRAM domain-containing protein;F;328843;329962;1
AB000VD65P;ispD;F;330027;330732;1
AB000VD65P;2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase;F;330744;331230;1
AB000VD65P;proline--tRNA ligase;F;331430;333149;1
AB000VD65P;protein arginine kinase;F;319755;320790;1
AB000VD65P;hypothetical protein;F;319231;319744;1
AB000VD65P;CtsR family transcriptional regulator;F;318752;319229;1
AB000VD65P;hypothetical protein;F;318316;318556;1
AB000VD65P;fusA;F;316122;318192;1
AB000VD65P;hypothetical protein;F;315306;315795;-1
AB000VD65P;MaoC family dehydratase;F;314737;315160;-1
AB000VD65P;hypothetical protein;F;313636;314710;-1
AB000VD65P;ferritin;F;312988;313495;-1
AB000VD65P;sigma 54-interacting transcriptional regulator;F;312023;312938;1
AB000VD65P;PAS domain-containing protein;F;311166;311976;1
AB000VD65P;NAD(P)-binding domain-containing protein;F;309807;310920;1
AB000HO3WB;p: NAD(P)-binding domain-containing protein;T;95944;98380;1
AB000HO3WB;.;F;97162.0;97162.0;1
AB000HO3WB;radA;F;98467;99844;1
AB000HO3WB;disA;F;99847;100921;1
AB000HO3WB;PIN/TRAM domain-containing protein;F;101082;102195;1
AB000HO3WB;2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase;F;102211;102892;1
AB000HO3WB;ispF;F;103001;103478;1
AB000HO3WB;glutamate--tRNA ligase;F;103567;105025;1
AB000HO3WB;misc_binding;F;105072;105318;1
AB000HO3WB;cysE;F;105530;106196;1
AB000HO3WB;cysS;F;106176;107574;1
AB000HO3WB;Mini-ribonuclease 3;F;107576;107984;1
AB000HO3WB;rlmB;F;107980;108724;1
AB000HO3WB;protein arginine kinase;F;94858;95929;1
AB000HO3WB;hypothetical protein;F;94305;94854;1
AB000HO3WB;CtsR family transcriptional regulator;F;93688;94150;1
AB000HO3WB;rrf;F;93398;93514;1
AB000HO3WB;23S ribosomal RNA;F;90380;93306;1
AB000HO3WB;16S ribosomal RNA;F;88584;90138;1
AB000HO3WB;tRNA-Ala;F;88437;88513;1
AB000HO3WB;tRNA-Pro;F;88353;88427;1
AB000HO3WB;tRNA-Arg;F;88271;88345;1
AB000HO3WB;tRNA-Leu;F;88179;88268;1
AB000HO3WB;tRNA-Gly;F;88094;88169;1
AB000HO3WB;tRNA-Leu;F;87984;88065;1
AB000HO3WB;tRNA-Lys;F;87894;87970;1
AB000HO3WB;tRNA-Thr;F;87808;87884;1
AB000HO3WB;tRNA-Val;F;87727;87803;1
AB000HO3WB;rrf;F;87607;87723;1
AB000HO3WB;23S ribosomal RNA;F;84537;87463;1
AB001770K7;p: 23S ribosomal RNA;T;-1125209;-1122728;1
AB001770K7;.;F;-1123968.5;-1123968.5;1
AB001770K7;protein arginine kinase;F;-1126284;-1125216;1
AB001770K7;UvrB/UvrC motif-containing protein;F;-1126771;-1126270;1
AB001770K7;orotidine 5'-phosphate decarboxylase;F;-1128107;-1126808;1
AB001770K7;queD;F;-1128487;-1128121;1
AB001770K7;mutL;F;-1130496;-1128714;1
AB001770K7;alpha-1,4-glucan--maltose-1-phosphate maltosyltransferase;F;-1133006;-1131020;-1
AB001770K7;treS;F;-1136353;-1133020;-1
AB001770K7;radA;F;-1122392;-1121030;1
AB001770K7;hypothetical protein;F;-1120870;-1120153;1
AB001770K7;IS1380 family transposase;F;-1119902;-1118568;1
AB001770K7;hypothetical protein;F;-1118189;-1118036;1
AB001770K7;hypothetical protein;F;-1117946;-1117460;1
AB001770K7;S41 family peptidase;F;-1117326;-1116282;-1
AB001770K7;hypothetical protein;F;-1116328;-1116052;-1
AB001770K7;tRNA-Phe;F;-1115560;-1115484;-1
AB001770K7;ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein;F;-1115071;-1113177;1
AB001770K7;YebC/PmpR family DNA-binding transcriptional regulator;F;-1113056;-1112312;-1
AB00103CH2;p: YebC/PmpR family DNA-binding transcriptional regulator;T;1335844;1338325;1
AB00103CH2;.;F;1337084.5;1337084.5;1
AB00103CH2;radA;F;1338661;1340023;1
AB00103CH2;SHOCT domain-containing protein;F;1340079;1341027;1
AB00103CH2;IS1380-like element ISCku8 family transposase;F;1341154;1342492;1
AB00103CH2;surE;F;1342844;1343603;1
AB00103CH2;S41 family peptidase;F;1343727;1345011;-1
AB00103CH2;tRNA-Phe;F;1345505;1345581;-1
AB00103CH2;ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein;F;1345996;1347847;1
AB00103CH2;YebC/PmpR family DNA-binding transcriptional regulator;F;1348022;1348772;-1
AB00103CH2;protein arginine kinase;F;1334769;1335837;1
AB00103CH2;hypothetical protein;F;1334282;1334783;1
AB00103CH2;bifunctional hexulose-6-phosphate synthase/ribonuclease regulator;F;1332946;1334245;1
AB00103CH2;queD;F;1332566;1332932;1
AB00103CH2;mutL;F;1330557;1332339;1
AB00103CH2;alpha-1,4-glucan--maltose-1-phosphate maltosyltransferase;F;1328047;1330033;-1
AB00103CH2;treS;F;1324700;1328033;-1
AB000RD8B8;p: maltose alpha-D-glucosyltransferase;T;-225427;-222994;1
AB000RD8B8;.;F;-224210.5;-224210.5;1
AB000RD8B8;protein arginine kinase;F;-226512;-225447;1
AB000RD8B8;UvrB/UvrC motif-containing protein;F;-227059;-226516;1
AB000RD8B8;CtsR family transcriptional regulator;F;-227535;-227073;1
AB000RD8B8;rrf;F;-227820;-227703;1
AB000RD8B8;23S ribosomal RNA;F;-230812;-227882;1
AB000RD8B8;16S ribosomal RNA;F;-232710;-231152;1
AB000RD8B8;tRNA-Ala;F;-232909;-232833;1
AB000RD8B8;tRNA-Pro;F;-232993;-232916;1
AB000RD8B8;tRNA-Arg;F;-233090;-233013;1
AB000RD8B8;tRNA-Leu;F;-233184;-233098;1
AB000RD8B8;tRNA-Gly;F;-233268;-233193;1
AB000RD8B8;tRNA-Leu;F;-233353;-233272;1
AB000RD8B8;tRNA-Lys;F;-233433;-233357;1
AB000RD8B8;rrf;F;-233557;-233440;1
AB000RD8B8;23S ribosomal RNA;F;-236811;-233882;1
AB000RD8B8;radA;F;-222936;-221541;1
AB000RD8B8;PIN/TRAM domain-containing protein;F;-221452;-220363;1
AB000RD8B8;2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase;F;-220344;-219657;1
AB000RD8B8;2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase;F;-219658;-219175;1
AB000RD8B8;glutamate--tRNA ligase;F;-219112;-217651;1
AB000RD8B8;misc_binding;F;-217609;-217389;1
AB000RD8B8;cysE;F;-217336;-216670;1
AB000RD8B8;cysS;F;-216690;-215292;1
AB000RD8B8;Mini-ribonuclease 3;F;-215288;-214862;1
AB000RD8B8;rlmB;F;-214860;-214122;1
AB000RD8B8;NYN domain-containing protein;F;-214121;-213611;1
AB000RD8B8;sigH;F;-213565;-212893;1
AB0001PQEL;p: RNA polymerase sporulation sigma factor SigH;T;91043;93476;1
AB0001PQEL;.;F;92259.5;92259.5;1
AB0001PQEL;radA;F;93534;94929;1
AB0001PQEL;PIN/TRAM domain-containing protein;F;95018;96107;1
AB0001PQEL;2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase;F;96126;96813;1
AB0001PQEL;2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase;F;96812;97295;1
AB0001PQEL;glutamate--tRNA ligase;F;97358;98819;1
AB0001PQEL;misc_binding;F;98860;99080;1
AB0001PQEL;cysE;F;99133;99799;1
AB0001PQEL;cysS;F;99779;101177;1
AB0001PQEL;Mini-ribonuclease 3;F;101181;101607;1
AB0001PQEL;rlmB;F;101609;102347;1
AB0001PQEL;NYN domain-containing protein;F;102348;102858;1
AB0001PQEL;sigH;F;102904;103576;1
AB0001PQEL;protein arginine kinase;F;89958;91023;1
AB0001PQEL;UvrB/UvrC motif-containing protein;F;89411;89954;1
AB0001PQEL;CtsR family transcriptional regulator;F;88935;89397;1
AB0001PQEL;rrf;F;88650;88767;1
AB0001PQEL;23S ribosomal RNA;F;85656;88582;1
AB0001PQEL;16S ribosomal RNA;F;83757;85312;1
AB0001PQEL;lysS;F;82005;83490;1
AB0001PQEL;dusB;F;80937;81939;1
AB000IWR4R;p: tRNA dihydrouridine synthase DusB;T;2287463;2289926;1
AB000IWR4R;.;F;2288694.5;2288694.5;1
AB000IWR4R;radA;F;2290116;2291481;1
AB000IWR4R;disA;F;2291490;2292537;1
AB000IWR4R;pssA;F;2292678;2293398;1
AB000IWR4R;hypothetical protein;F;2293498;2293891;-1
AB000IWR4R;PIN/TRAM domain-containing protein;F;2294197;2295289;1
AB000IWR4R;ispD;F;2295319;2296021;1
AB000IWR4R;2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase;F;2296017;2296491;1
AB000IWR4R;glutamate--tRNA ligase;F;2296540;2298007;1
AB000IWR4R;misc_binding;F;2298024;2298276;1
AB000IWR4R;cysE;F;2298428;2299094;1
AB000IWR4R;cysteine--tRNA ligase;F;2299074;2300481;1
AB000IWR4R;protein arginine kinase;F;2286371;2287436;1
AB000IWR4R;hypothetical protein;F;2285808;2286345;1
